Date,Open,High,Low,Close,Volume,Adj Close,Adj Close SMA(10)
2015-03-11,42.77,42.990002,42.360001,42.50,10007300,42.50,43.52
2015-03-10,42.57,42.919998,42.18,42.68,10600700,42.68,43.71
2015-03-09,43.599998,43.93,42.669998,42.98,11801900,42.98,43.78
2015-03-06,43.98,44.240002,43.400002,43.439999,11888000,43.439999,43.84
2015-03-05,44.18,44.310001,43.50,44.16,11867700,44.16,43.91
2015-03-04,42.080002,44.380001,41.970001,43.990002,30098500,43.990002,43.93
2015-03-03,43.700001,43.950001,42.419998,42.619999,22392400,42.619999,43.89
2015-03-02,44.060001,44.43,43.700001,44.110001,11027300,44.110001,43.98
2015-02-27,44.380001,44.57,44.049999,44.279999,10044200,44.279999,44.01
2015-02-26,44.599998,44.759998,44.259998,44.450001,9223800,44.450001,43.98
2015-02-25,43.209999,44.720001,43.209999,44.43,17922900,44.43,43.83
2015-02-24,43.450001,43.52,42.91,43.380001,9797500,43.380001,43.69
2015-02-23,43.990002,43.990002,43.419998,43.529999,12129100,43.529999,43.61
2015-02-20,44.299999,44.360001,43.759998,44.110001,12036200,44.110001,43.55
2015-02-19,43.650002,44.419998,43.50,44.369999,13301000,44.369999,43.50
2015-02-18,43.560001,43.82,43.299999,43.650002,10410700,43.650002,43.47
2015-02-17,44.369999,44.540001,43.349998,43.529999,12798400,43.529999,43.57
2015-02-13,44.119999,44.59,44.00,44.419998,13785800,44.419998,43.69
2015-02-12,43.07,44.16,42.860001,43.93,18158200,43.93,43.64
2015-02-11,43.18,43.259998,42.759998,42.959999,9791100,42.959999,43.62
2015-02-10,42.900002,43.18,42.66,43.07,12160800,43.07,43.97
2015-02-09,42.610001,43.150002,42.540001,42.57,15507600,42.57,44.47
2015-02-06,43.57,43.66,42.669998,42.939999,16005100,42.939999,45.15
2015-02-05,44.080002,44.259998,43.029999,43.549999,18414500,43.549999,45.76
2015-02-04,44.799999,44.98,43.880001,44.049999,16281400,44.049999,46.29
2015-02-03,45.099998,45.25,44.380001,44.700001,16985900,44.700001,46.70
2015-02-02,44.43,44.759998,43.880001,44.689999,20305700,44.689999,47.00
2015-01-30,43.75,44.849998,43.509998,43.990002,36033600,43.990002,47.17
2015-01-29,43.560001,43.799999,41.799999,43.73,74370100,43.73,47.40
2015-01-28,49.799999,50.32,46.299999,46.459999,84839700,46.459999,47.77
2015-01-27,49.139999,49.279999,47.66,47.990002,45777200,47.990002,47.96
2015-01-26,49.57,49.790001,49.07,49.439999,18976400,49.439999,48.04
2015-01-23,48.740002,49.23,48.630001,48.950001,14294300,48.950001,48.07
2015-01-22,48.43,49.080002,48.009998,48.889999,12647400,48.889999,48.20
2015-01-21,47.599998,48.380001,47.32,48.18,16305100,48.18,48.17
2015-01-20,46.790001,47.889999,46.77,47.630001,15845900,47.630001,48.27
2015-01-16,46.060001,46.59,45.849998,46.470001,14681800,46.470001,48.42
2015-01-15,47.540001,47.75,46.200001,46.23,17126000,46.23,48.79
2015-01-14,47.700001,48.09,47.07,47.509998,15911600,47.509998,49.22
2015-01-13,49.150002,49.48,47.400002,48.299999,21605200,48.299999,49.59
2015-01-12,49.919998,49.93,48.560001,48.799999,10170700,48.799999,49.81
2015-01-09,50.279999,50.41,49.619999,49.720001,7462800,49.720001,50.02
2015-01-08,48.990002,50.23,48.720001,50.23,14704800,50.23,50.11
2015-01-07,49.619999,49.639999,48.509998,48.59,11788000,48.59,50.09
2015-01-06,49.200001,49.880001,48.330002,49.209999,16204300,49.209999,50.35
2015-01-05,49.709999,49.880001,48.91,49.130001,14389300,49.130001,50.51
2015-01-02,50.66,50.779999,49.470001,50.169998,11924500,50.169998,50.69
2014-12-31,51.540001,51.68,50.459999,50.509998,9305000,50.509998,50.69
2014-12-30,50.349998,51.27,50.349998,51.220001,10703500,51.220001,50.52
2014-12-29,50.669998,51.009998,50.509998,50.529999,6624500,50.529999,50.38
2014-12-26,50.650002,51.060001,50.610001,50.860001,5169700,50.860001,50.35
2014-12-24,50.189999,50.919998,50.189999,50.650002,5961900,50.650002,50.26
2014-12-23,51.459999,51.459999,49.93,50.02,15514000,50.02,50.11
2014-12-22,50.990002,51.599998,50.950001,51.150002,24021100,51.150002,50.16
2014-12-19,51.060001,51.470001,50.830002,50.880001,24110200,50.880001,50.01
2014-12-18,50.93,51.150002,50.439999,50.91,15338900,50.91,50.02
2014-12-17,49.02,50.25,48.900002,50.119999,17112300,50.119999,49.97
2014-12-16,49.50,50.080002,48.810001,48.849998,21399300,48.849998,49.99
2014-12-15,50.419998,50.919998,49.50,49.82,18132500,49.82,50.17
2014-12-12,49.540001,51.169998,49.48,50.240002,20370500,50.240002,50.20
2014-12-11,49.540001,50.580002,49.43,49.939999,21100200,49.939999,50.35
2014-12-10,50.330002,50.689999,49.189999,49.209999,16184100,49.209999,50.55
2014-12-09,48.75,50.529999,48.290001,50.509998,19655600,50.509998,50.80
2014-12-08,50.52,50.900002,49.220001,49.619999,18190100,49.619999,50.93
2014-12-05,51.029999,51.25,50.509998,50.990002,15418100,50.990002,51.07
2014-12-04,50.189999,50.669998,49.900002,50.41,12136700,50.41,51.10
2014-12-03,50.709999,50.970001,50.200001,50.279999,14236000,50.279999,51.11
2014-12-02,50.27,51.119999,50.009998,50.669998,16099900,50.669998,51.26
2014-12-01,51.43,51.43,49.66,50.099998,23146900,50.099998,51.43
2014-11-28,51.869999,52.00,51.639999,51.740002,8913700,51.740002,51.60
2014-11-26,51.560001,52.259998,51.52,51.93,13428500,51.93,51.47
2014-11-25,51.98,52.189999,51.599998,51.720001,14219600,51.720001,51.34
2014-11-24,51.25,51.830002,51.07,51.830002,14643500,51.830002,51.07
2014-11-21,51.990002,52.25,50.990002,51.040001,22225300,51.040001,50.83
2014-11-20,50.599998,52.23,50.27,51.25,28916000,51.25,50.58
2014-11-19,51.240002,51.369999,50.00,50.580002,29260000,50.580002,50.25
2014-11-18,52.279999,52.619999,51.34,51.75,26847300,51.75,49.94
2014-11-17,51.830002,52.419998,50.939999,52.369999,38392800,52.369999,49.47
2014-11-14,50.52,51.950001,50.470001,51.75,28824700,51.75,48.87
2014-11-13,50.959999,51.169998,49.950001,50.50,35513400,50.50,48.30
2014-11-12,49.330002,50.630001,49.220001,50.599998,30564700,50.599998,47.81
2014-11-11,48.57,49.18,48.099998,49.049999,31586300,49.049999,47.29
2014-11-10,48.799999,49.630001,48.790001,49.41,24730300,49.41,46.97
2014-11-07,47.900002,48.669998,47.860001,48.549999,24166700,48.549999,46.50
2014-11-06,47.369999,47.98,46.599998,47.93,22636000,47.93,46.00
2014-11-05,47.619999,48.279999,47.32,47.459999,33021500,47.459999,45.47
2014-11-04,45.990002,47.130001,45.740002,47.080002,25051500,47.080002,44.92
2014-11-03,46.049999,46.720001,45.939999,46.34,17181500,46.34,44.23
2014-10-31,46.16,46.52,45.669998,46.049999,18446800,46.049999,43.52
2014-10-30,45.209999,45.84,45.130001,45.630001,16205500,45.630001,42.76
2014-10-29,45.939999,45.98,45.130001,45.43,25389100,45.43,42.01
2014-10-28,45.009998,46.150002,44.880001,45.869999,36834900,45.869999,41.25
2014-10-27,43.310001,44.82,43.290001,44.700001,36596500,44.700001,40.46
2014-10-24,42.529999,43.650002,42.400002,43.50,33805800,43.50,39.83
2014-10-23,42.400002,42.830002,42.259998,42.599998,30653400,42.599998,39.44
2014-10-22,42.419998,42.880001,41.77,42.00,69348900,42.00,39.29
2014-10-21,39.650002,40.48,39.459999,40.18,41955200,40.18,39.20
2014-10-20,38.470001,39.400002,38.25,39.279999,17802400,39.279999,39.27
2014-10-17,38.740002,38.98,38.310001,38.450001,24107000,38.450001,39.50
2014-10-16,36.950001,38.50,36.919998,38.119999,26998500,38.119999,39.75
2014-10-15,37.27,38.080002,36.200001,37.82,41973500,37.82,39.99
2014-10-14,38.66,39.00,37.709999,37.970001,38509000,37.970001,40.24
2014-10-13,39.52,40.07,38.290001,38.380001,38841900,38.380001,40.52
2014-10-10,40.73,41.07,39.59,39.599998,36771500,39.599998,40.73
2014-10-09,40.900002,41.25,40.419998,41.099998,33519600,41.099998,40.84
2014-10-08,41.00,41.290001,40.099998,41.080002,26593500,41.080002,40.63
2014-10-07,41.060001,41.290001,40.779999,40.93,22538300,40.93,40.51
2014-10-06,41.200001,41.73,41.040001,41.52,23576100,41.52,40.32
2014-10-03,40.790001,41.689999,40.650002,41.029999,38191700,41.029999,40.03
